País;Human Development Index (HDI);Esperanza de Vida;Promedio de años de Escolaridad ;Años esperados de Escolaridad ;Producto interior bruto per cápita;;;;
Afghanistan;0,468;60,9;3,2;9,3;1.904;;;;
Albania;0,716;77,4;9,3;10,8;9.225;;;;
Algeria;0,717;71,0;7,6;14,0;12.555;;;;
Andorra;0,830;81,2;10,4;11,7;40.597;;;;
Angola;0,526;51,9;4,7;11,4;6.323;;;;
Antigua and Barbuda;0,774;76,0;8,9;13,8;18.800;;;;
Argentina;0,808;76,3;9,8;16,4;17.297;;;;
Armenia;0,730;74,6;10,8;12,3;7.952;;;;
Australia;0,933;82,5;12,8;19,9;41.524;;;;
Austria;0,881;81,1;10,8;15,6;42.930;;;;
Azerbaijan;0,747;70,8;11,2;11,8;15.725;;;;
Bahamas;0,789;75,2;10,9;12,6;21.414;;;;
Bahrain;0,815;76,6;9,4;14,4;32.072;;;;
Bangladesh;0,558;70,7;5,1;10,0;2.713;;;;
Barbados;0,776;75,4;9,4;15,4;13.604;;;;
Belarus;0,786;69,9;11,5;15,7;16.403;;;;
Belgium;0,881;80,5;10,9;16,2;39.471;;;;
Belize;0,732;73,9;9,3;13,7;9.364;;;;
Benin;0,476;59,3;3,2;11,0;1.726;;;;
Bhutan;0,584;68,3;2,3;12,4;6.775;;;;
Bolivia (Plurinational State of);0,667;67,3;9,2;13,2;5.552;;;;
Bosnia and Herzegovina;0,731;76,4;8,3;13,6;9.431;;;;
Botswana;0,683;64,4;8,8;11,7;14.792;;;;
Brazil;0,744;73,9;7,2;15,2;14.275;;;;
Brunei Darussalam;0,852;78,5;8,7;14,5;70.883;;;;
Bulgaria;0,777;73,5;10,6;14,3;15.402;;;;
Burkina Faso;0,388;56,3;1,3;7,5;1.602;;;;
Burundi;0,389;54,1;2,7;10,1;749;;;;
Cambodia;0,584;71,9;5,8;10,9;2.805;;;;
Cameroon;0,504;55,1;5,9;10,4;2.557;;;;
Canada;0,902;81,5;12,3;15,9;41.887;;;;
Cape Verde;0,636;75,1;3,5;13,2;6.365;;;;
Central African Republic;0,341;50,2;3,5;7,2;588;;;;
Chad;0,372;51,2;1,5;7,4;1.622;;;;
Chile;0,822;80,0;9,8;15,1;20.804;;;;
China;0,719;75,3;7,5;12,9;11.477;;;;
Colombia;0,711;74,0;7,1;13,2;11.527;;;;
Comoros;0,488;60,9;2,8;12,8;1.505;;;;
Congo;0,564;58,8;6,1;11,1;4.909;;;;
Congo (Democratic Republic of the);0,338;50,0;3,1;9,7;444;;;;
Costa Rica;0,763;79,9;8,4;13,5;13.012;;;;
Côte d'Ivoire;0,452;50,7;4,3;8,9;2.774;;;;
Croatia;0,812;77,0;11,0;14,5;19.025;;;;
Cuba;0,815;79,3;10,2;14,5;19.844;;;;
Cyprus;0,845;79,8;11,6;14,0;26.771;;;;
Czech Republic;0,861;77,7;12,3;16,4;24.535;;;;
Denmark;0,900;79,4;12,1;16,9;42.880;;;;
Djibouti;0,467;61,8;3,8;6,4;3.109;;;;
Dominica;0,717;77,7;7,7;12,7;9.235;;;;
Dominican Republic;0,700;73,4;7,5;12,3;10.844;;;;
Ecuador;0,711;76,5;7,6;12,3;9.998;;;;
Egypt;0,682;71,2;6,4;13,0;10.400;;;;
El Salvador;0,662;72,6;6,5;12,1;7.240;;;;
Equatorial Guinea;0,556;53,1;5,4;8,5;21.972;;;;
Eritrea;0,381;62,9;3,4;4,1;1.147;;;;
Estonia;0,840;74,4;12,0;16,5;23.387;;;;
Ethiopia;0,435;63,6;2,4;8,5;1.303;;;;
Fiji;0,724;69,8;9,9;15,7;7.214;;;;
Finland;0,879;80,5;10,3;17,0;37.366;;;;
France;0,884;81,8;11,1;16,0;36.629;;;;
Gabon;0,674;63,5;7,4;12,3;16.977;;;;
Gambia;0,441;58,8;2,8;9,1;1.557;;;;
Georgia;0,744;74,3;12,1;13,2;6.890;;;;
Germany;0,911;80,7;12,9;16,3;43.049;;;;
Ghana;0,573;61,1;7,0;11,5;3.532;;;;
Greece;0,853;80,8;10,2;16,5;24.658;;;;
Grenada;0,744;72,8;8,6;15,8;10.339;;;;
Guatemala;0,628;72,1;5,6;10,7;6.866;;;;
Guinea;0,392;56,1;1,6;8,7;1.142;;;;
Guinea-Bissau;0,396;54,3;2,3;9,0;1.090;;;;
Guyana;0,638;66,3;8,5;10,7;6.341;;;;
Haiti;0,471;63,1;4,9;7,6;1.636;;;;
Honduras;0,617;73,8;5,5;11,6;4.138;;;;
Hong Kong, China (SAR);0,891;83,4;10,0;15,6;52.383;;;;
Hungary;0,818;74,6;11,3;15,4;21.239;;;;
Iceland;0,895;82,1;10,4;18,7;35.116;;;;
India;0,586;66,4;4,4;11,7;5.150;;;;
Indonesia;0,684;70,8;7,5;12,7;8.970;;;;
Iran (Islamic Republic of);0,749;74,0;7,8;15,2;13.451;;;;
Iraq;0,642;69,4;5,6;10,1;14.007;;;;
Ireland;0,899;80,7;11,6;18,6;33.414;;;;
Israel;0,888;81,8;12,5;15,7;29.966;;;;
Italy;0,872;82,4;10,1;16,3;32.669;;;;
Jamaica;0,715;73,5;9,6;12,5;8.170;;;;
Japan;0,890;83,6;11,5;15,3;36.747;;;;
Jordan;0,745;73,9;9,9;13,3;11.337;;;;
Kazakhstan;0,757;66,5;10,4;15,0;19.441;;;;
Kenya;0,535;61,7;6,3;11,0;2.158;;;;
Kiribati;0,607;68,9;7,8;12,3;2.645;;;;
Korea (Republic of);0,891;81,5;11,8;17,0;30.345;;;;
Kuwait;0,814;74,3;7,2;14,6;85.820;;;;
Kyrgyzstan;0,628;67,5;9,3;12,5;3.021;;;;
Lao People's Democratic Republic;0,569;68,3;4,6;10,2;4.351;;;;
Latvia;0,810;72,2;11,5;15,5;22.186;;;;
Lebanon;0,765;80,0;7,9;13,2;16.263;;;;
Lesotho;0,486;49,4;5,9;11,1;2.798;;;;
Liberia;0,412;60,6;3,9;8,5;752;;;;
Libya;0,784;75,3;7,5;16,1;21.666;;;;
Liechtenstein;0,889;79,9;10,3;15,1;87.085;;;;
Lithuania;0,834;72,1;12,4;16,7;23.740;;;;
Luxembourg;0,881;80,5;11,3;13,9;58.695;;;;
Madagascar;0,498;64,7;5,2;10,3;1.333;;;;
Malawi;0,414;55,3;4,2;10,8;715;;;;
Malaysia;0,773;75,0;9,5;12,7;21.824;;;;
Maldives;0,698;77,9;5,8;12,7;10.074;;;;
Mali;0,407;55,0;2,0;8,6;1.499;;;;
Malta;0,829;79,8;9,9;14,5;27.022;;;;
Mauritania;0,487;61,6;3,7;8,2;2.988;;;;
Mauritius;0,771;73,6;8,5;15,6;16.777;;;;
Mexico;0,756;77,5;8,5;12,8;15.854;;;;
Micronesia (Federated States of);0,630;69,0;8,8;11,4;3.662;;;;
Moldova (Republic of);0,663;68,9;9,8;11,8;5.041;;;;
Mongolia;0,698;67,5;8,3;15,0;8.466;;;;
Montenegro;0,789;74,8;10,5;15,2;14.710;;;;
Morocco;0,617;70,9;4,4;11,6;6.905;;;;
Mozambique;0,393;50,3;3,2;9,5;1.011;;;;
Myanmar;0,524;65,2;4,0;8,6;3.998;;;;
Namibia;0,624;64,5;6,2;11,3;9.185;;;;
Nepal;0,540;68,4;3,2;12,4;2.194;;;;
Netherlands;0,915;81,0;11,9;17,9;42.397;;;;
New Zealand;0,910;81,1;12,5;19,4;32.569;;;;
Nicaragua;0,614;74,8;5,8;10,5;4.266;;;;
Niger;0,337;58,4;1,4;5,4;873;;;;
Nigeria;0,504;52,5;5,2;9,0;5.353;;;;
Norway;0,944;81,5;12,6;17,6;63.909;;;;
Oman;0,783;76,6;6,8;13,6;42.191;;;;
Pakistan;0,537;66,6;4,7;7,7;4.652;;;;
Palau;0,775;72,4;12,2;13,7;12.823;;;;
Palestine, State of;0,686;73,2;8,9;13,2;5.168;;;;
Panama;0,765;77,6;9,4;12,4;16.379;;;;
Papua New Guinea;0,491;62,4;3,9;8,9;2.453;;;;
Paraguay;0,676;72,3;7,7;11,9;7.580;;;;
Peru;0,737;74,8;9,0;13,1;11.280;;;;
Philippines;0,660;68,7;8,9;11,3;6.381;;;;
Poland;0,834;76,4;11,8;15,5;21.487;;;;
Portugal;0,822;79,9;8,2;16,3;24.130;;;;
Qatar;0,851;78,4;9,1;13,8;119.029;;;;
Romania;0,785;73,8;10,7;14,1;17.433;;;;
Russian Federation;0,778;68,0;11,7;14,0;22.617;;;;
Rwanda;0,506;64,1;3,3;13,2;1.403;;;;
Saint Kitts and Nevis;0,750;73,6;8,4;12,9;20.150;;;;
Saint Lucia;0,714;74,8;8,3;12,8;9.251;;;;
Saint Vincent and the Grenadines;0,719;72,5;8,6;13,3;10.339;;;;
Samoa;0,694;73,2;10,3;12,9;4.708;;;;
Sao Tome and Principe;0,558;66,3;4,7;11,3;3.111;;;;
Saudi Arabia;0,836;75,5;8,7;15,6;52.109;;;;
Senegal;0,485;63,5;4,5;7,9;2.169;;;;
Serbia;0,745;74,1;9,5;13,6;11.301;;;;
Seychelles;0,756;73,2;9,4;11,6;24.632;;;;
Sierra Leone;0,374;45,6;2,9;7,5;1.815;;;;
Singapore;0,901;82,3;10,2;15,4;72.371;;;;
Slovakia;0,830;75,4;11,6;15,0;25.336;;;;
Slovenia;0,874;79,6;11,9;16,8;26.809;;;;
Solomon Islands;0,491;67,7;4,5;9,2;1.385;;;;
South Africa;0,658;56,9;9,9;13,1;11.788;;;;
Spain;0,869;82,1;9,6;17,1;30.561;;;;
Sri Lanka;0,750;74,3;10,8;13,6;9.250;;;;
Sudan;0,473;62,1;3,1;7,3;3.428;;;;
Suriname;0,705;71,0;7,7;12,0;15.113;;;;
Swaziland;0,530;49,0;7,1;11,3;5.536;;;;
Sweden;0,898;81,8;11,7;15,8;43.201;;;;
Switzerland;0,917;82,6;12,2;15,7;53.762;;;;
Syrian Arab Republic;0,658;74,6;6,6;12,0;5.771;;;;
Tajikistan;0,607;67,2;9,9;11,2;2.424;;;;
Tanzania (United Republic of);0,488;61,5;5,1;9,2;1.702;;;;
Thailand;0,722;74,4;7,3;13,1;13.364;;;;
The former Yugoslav Republic of Macedonia;0,732;75,2;8,2;13,3;11.745;;;;
Timor-Leste;0,620;67,5;4,4;11,7;9.674;;;;
Togo;0,473;56,5;5,3;12,2;1.129;;;;
Tonga;0,705;72,7;9,4;14,7;5.316;;;;
Trinidad and Tobago;0,766;69,9;10,8;12,3;25.325;;;;
Tunisia;0,721;75,9;6,5;14,6;10.440;;;;
Turkey;0,759;75,3;7,6;14,4;18.391;;;;
Turkmenistan;0,698;65,5;9,9;12,6;11.533;;;;
Uganda;0,484;59,2;5,4;10,8;1.335;;;;
Ukraine;0,734;68,5;11,3;15,1;8.215;;;;
United Arab Emirates;0,827;76,8;9,1;13,3;58.068;;;;
United Kingdom;0,892;80,5;12,3;16,2;35.002;;;;
United States;0,914;78,9;12,9;16,5;52.308;;;;
Uruguay;0,790;77,2;8,5;15,5;18.108;;;;
Uzbekistan;0,661;68,2;10,0;11,5;5.227;;;;
Vanuatu;0,616;71,6;9,0;10,6;2.652;;;;
Venezuela (Bolivarian Republic of);0,764;74,6;8,6;14,2;17.067;;;;
Viet Nam;0,638;75,9;5,5;11,9;4.892;;;;
Yemen;0,500;63,1;2,5;9,2;3.945;;;;
Zambia;0,561;58,1;6,5;13,5;2.898;;;;
Zimbabwe;0,492;59,9;7,2;9,3;1.307;;;;
